"x","y","z"
513,1841,21
889,4880,7
853,2113,25
1441,1197,16
1080,4325,8
1088,591,12
1101,2156,26
1019,3447,11
492,4488,8
656,4302,16
1181,4910,7
817,3612,30
625,4929,8
1147,906,23
1299,2406,13
673,2400,6
1308,4879,9
372,1350,14
1454,1332,22
314,4225,26
613,3317,20
731,4364,15
528,2465,32
326,3881,24
333,2584,20
1008,4982,23
1089,3224,6
432,3668,20
332,5094,14
494,1605,22
1075,2081,34
272,4127,22
541,2967,30
1142,2315,32
1200,1078,11
964,4998,19
670,4839,18
190,1427,26
389,4148,27
633,1996,19
1148,4271,22
907,4941,12
601,904,29
347,5262,20
1021,516,16
420,3632,12
127,1434,32
1332,1316,14
328,3464,6
1001,2218,26
1346,4356,9
162,2031,10
907,1242,21
88,4362,17
1098,1790,17
571,1668,33
1001,5105,28
338,5248,16
1133,2706,13
315,2433,7
382,865,24
1150,3974,8
432,5135,29
460,3073,29
888,2232,22
1140,4637,27
743,1059,10
377,5353,9
1045,1839,19
1137,2553,6
1279,524,7
1320,3906,15
1128,1427,21
1248,4622,33
430,1548,14
1246,627,19
662,1097,14
252,2982,8
1289,301,6
218,2972,22
682,3350,6
952,2556,14
502,747,31
838,1759,12
566,1913,12
983,3926,31
190,3090,20
923,660,23
1345,1942,9
268,3186,21
865,3009,33
1200,1050,7
1267,3915,19
815,1318,28
1226,4566,10
536,4277,17
1170,4051,22
758,1705,20
590,3908,33
171,4441,28
567,5041,18
947,4504,19
1213,2549,24
846,4329,27
900,2882,30
1347,4532,13
578,2476,25
1349,4974,25
238,801,6
1065,3775,9
216,1720,6
583,4770,12
296,1495,8
916,4782,16
881,1204,10
1051,3135,8
1028,1729,13
1043,4663,11
1154,4977,26
179,4868,6
230,2126,12
258,2158,24
370,3420,8
1426,4066,25
301,2299,22
838,5108,14
118,1307,19
740,4576,9
227,4817,15
1023,4584,10
711,3468,31
1235,5010,33
198,2602,9
1140,838,12
387,1102,19
1078,3420,18
790,1741,11
112,5271,18
279,750,6
570,4923,34
1017,2617,24
1306,1287,25
1022,4768,12
1222,751,9
1197,861,29
966,2773,14
1274,4626,11
742,1741,7
162,4089,23
1070,3288,34
1259,4100,13
998,1153,19
952,2995,7
899,4729,29
1260,4625,33
793,3657,9
502,4602,35
297,2956,14
1127,3523,23
1418,1980,25
1382,3011,14
448,2199,29
426,2063,22
685,2177,28
1276,1248,11
235,5200,30
592,4002,26
293,3639,22
658,751,8
984,2784,32
583,2287,21
282,3640,32
194,3352,30
1060,1187,25
1385,1483,14
162,4950,10
86,1703,27
1151,2531,13
745,4361,13
566,3874,8
313,4994,27
1217,1182,8
685,4815,33
418,3320,27
754,2731,31
1247,1294,6
1404,5009,22
615,2526,6
1245,4543,15
933,2090,15
225,3518,23
811,2656,9
419,2074,29
118,4404,14
271,983,25
291,3348,10
948,4962,21
1417,2048,10
1240,2776,15
534,1389,34
602,4404,34
583,3436,33
1107,2522,18
1028,3146,28
460,1933,6
545,1884,34
160,1880,24
1144,3990,7
1150,4574,6
962,4938,6
645,3926,8
467,1703,15
433,1046,24
802,3681,16
66,5123,31
383,4547,24
698,4514,24
473,3636,24
979,1877,28
648,1610,8
1075,4322,27
685,2458,14
176,3802,28
1190,2293,12
781,942,17
430,2067,18
200,3032,25
700,1459,9
1290,4434,9
789,4865,24
418,3630,6
974,3402,32
537,1396,23
630,3896,6
630,4575,31
1201,3379,22
69,1876,18
285,3546,29
989,2067,28
1215,3801,32
550,2983,11
1021,4018,27
704,3986,22
1082,3717,7
284,571,14
706,4574,8
482,2163,17
458,3749,9
1172,2283,15
170,3795,7
136,5193,22
797,3970,16
1214,4022,13
968,4713,22
787,4311,12
822,3084,26
190,546,11
780,1484,24
192,4360,19
246,3306,11
940,4767,17
775,357,14
685,3362,25
1090,3837,18
526,4249,27
753,3266,27
429,5097,14
940,4848,6
1113,4929,11
1213,1949,30
107,3725,14
1138,4886,20
1258,4613,34
1364,629,6
1180,1930,11
113,4250,27
690,4621,9
788,1884,18
522,4200,31
1084,4407,10
1118,3444,15
1387,2811,6
1167,2742,24
1228,2371,28
216,2658,12
1025,3336,34
1219,4909,12
391,1660,26
421,3852,6
542,3001,34
1215,679,15
1382,3515,9
1222,3439,23
188,3124,23
1051,1192,18
1368,2414,31
154,4013,21
1180,2606,31
590,3522,33
1165,2792,6
363,1647,21
1216,2853,9
714,4968,21
1104,5106,11
461,4968,27
58,3075,25
1281,205,16
313,1635,34
863,1558,27
989,3576,23
391,5200,34
694,1074,10
412,2190,27
1294,3326,26
752,3977,26
317,4328,13
833,2518,21
911,5028,20
1095,2901,32
730,4528,29
1125,2670,10
1331,3579,13
673,1609,21
641,3543,18
1342,5108,31
520,2116,22
1388,3889,7
397,1788,20
1095,4668,27
322,4438,15
1178,2024,12
721,4796,9
1368,2892,9
993,3716,7
425,867,12
1306,1842,30
1257,2457,23
1178,4450,28
552,2140,15
1394,1408,12
963,2194,26
1093,3572,12
843,3590,32
548,1880,31
1106,4589,31
693,3565,33
766,1518,18
971,2499,33
421,833,29
1265,722,15
968,2693,27
543,3440,21
837,5073,14
1006,3634,19
692,1800,17
300,2814,29
1119,3954,32
1280,2128,29
271,1715,18
1352,396,13
766,3777,6
987,1468,7
824,1901,10
641,3995,30
448,1736,31
116,2413,9
648,2106,12
685,1676,21
282,4200,29
1049,1611,10
85,2025,29
650,3232,9
1136,1915,22
416,3119,28
1453,1392,17
524,4343,28
138,2213,6
726,4202,14
406,626,22
919,497,8
382,5236,6
1270,387,6
672,3938,30
1308,1977,24
1314,1820,12
1000,3919,32
1274,3885,23
932,4074,28
1416,2930,6
1361,4916,6
1064,1716,29
1207,5064,6
715,1287,15
561,2659,19
102,1639,26
192,2069,24
1160,3856,30
1119,2234,20
980,4885,22
531,2376,7
829,2342,32
102,1867,34
1384,1952,24
476,2118,6
588,2851,16
132,2931,33
840,3290,13
730,4577,7
1288,3521,11
1161,1189,7
242,3080,11
291,4108,8
1223,4028,28
872,5054,25
1313,4440,33
942,1318,33
1305,2551,32
505,5040,8
498,496,21
1256,3504,21
818,1941,14
832,3437,14
978,1692,13
1446,311,15
271,4127,28
1360,4853,17
94,3103,12
492,2569,16
461,2437,14
1213,2890,19
482,1685,24
1189,1941,30
1098,1742,15
1150,2061,20
1179,3812,10
270,4766,16
1194,4351,28
891,2399,12
728,3567,13
826,3344,23
1155,1741,30
914,1657,13
847,4051,15
187,2316,16
494,2221,8
436,4484,16
823,3986,13
1122,2026,27
489,2160,8
531,1533,14
730,2275,24
926,3744,15
697,2643,6
289,946,14
572,4527,16
524,1982,6
95,5167,16
870,4965,20
1128,1767,31
1401,1896,20
252,5166,34
724,1591,18
554,1281,19
398,3854,7
418,1158,8
637,4694,6
340,5355,22
858,4434,33
681,1284,24
711,4631,20
752,4914,21
372,1212,8
382,2648,14
1327,4667,29
527,2705,24
241,3231,18
1237,4424,15
1042,1334,11
1186,1858,16
489,1339,15
1265,4456,16
836,3130,23
1024,3317,31
216,5148,12
1012,4514,9
101,4195,33
258,5180,34
444,4507,6
1138,1862,28
558,3795,18
233,3077,21
835,1892,34
774,1238,8
845,2984,21
825,3848,29
1294,3579,16
771,1972,12
1213,2001,12
1032,2805,9
289,3091,25
1105,1388,11
252,1499,31
275,4696,12
320,4560,11
496,1266,21
582,4312,27
994,2360,18
319,2455,18
934,1736,6
741,3223,21
1190,3306,13
1123,4079,30
333,3024,6
1031,3902,32
1073,4377,13
612,1669,9
436,4833,32
127,1586,31
1262,4607,8
149,1400,7
636,1640,34
922,3803,31
1252,3302,12
1010,4918,27
1143,4507,32
1147,4269,17
446,5096,20
727,4183,20
860,2124,13
1373,3653,8
364,3722,32
366,4106,25
814,2370,6
1399,4996,26
1070,1882,17
947,3079,7
584,1572,14
1042,1215,18
266,1830,11
1259,2760,27
813,2961,13
219,1935,19
496,4712,22
1343,1854,22
728,2445,6
322,4536,12
235,769,20
418,3128,14
532,709,13
757,4421,29
314,1376,32
619,3917,18
1369,3561,18
368,1243,29
1141,3502,17
1142,342,13
590,1077,21
1061,2509,28
160,5404,7
1436,1717,22
965,4937,22
979,4286,24
158,5088,13
252,1674,12
991,2010,21
65,4841,23
1071,4143,29
116,3560,7
1222,3085,25
98,1768,32
935,2221,27
216,1263,19
1051,4861,13
1155,2178,27
1366,4931,32
126,3177,24
77,4790,30
908,1651,18
333,4589,32
1383,2105,28
221,3119,8
1347,1110,25
1131,1946,33
156,4039,26
653,2626,30
1170,5024,27
1033,575,28
579,4281,13
573,3274,24
510,5239,26
1212,1943,34
1241,4295,6
766,1361,7
629,4980,34
190,3400,33
1182,4682,15
272,2811,6
989,4296,23
1416,4084,27
1443,3266,15
271,3704,12
1165,1906,28
242,3098,20
831,4615,17
214,2560,20
603,1270,20
1066,1857,9
260,3851,25
607,4910,14
916,4085,11
126,3023,30
729,2927,33
639,3586,20
1079,1492,6
258,5198,20
202,2600,27
326,1844,9
830,3960,31
933,2220,27
830,3613,24
377,974,30
160,2941,21
98,5444,12
851,2290,12
731,4415,28
1266,3378,20
250,1843,25
942,4873,27
1009,3743,7
558,4015,32
614,5087,6
1334,3601,20
488,4113,20
1386,129,10
269,5333,22
586,2998,6
426,4038,20
830,2838,33
1236,3286,30
70,634,27
930,2353,27
1370,3895,31
332,3404,22
122,1274,31
1326,3042,18
296,1392,28
1295,4303,27
565,592,8
1354,2231,19
1318,753,23
503,5032,30
878,3290,7
940,848,6
973,1178,8
1332,5012,34
464,2487,15
774,3298,15
272,3342,7
797,1768,15
409,2466,13
595,2277,28
194,4912,9
779,1861,8
762,1683,14
987,523,5
1345,3367,11
777,1756,24
177,4795,17
433,1124,14
157,2592,18
803,2913,16
1164,2214,8
499,5045,9
764,3044,33
191,974,29
568,1652,7
1191,4038,28
116,4864,28
332,1869,30
1280,2364,18
1218,4904,10
488,3624,9
1051,5069,20
200,2648,14
1237,4966,27
1109,4554,6
241,4123,8
200,4018,30
935,2503,13
720,1938,34
273,2256,23
1063,3132,22
1305,4747,14
388,4511,16
59,1702,28
1414,2701,22
1297,3368,16
820,3426,15
1321,4968,30
1413,706,11
1142,2023,15
352,3830,23
366,3576,19
915,4766,13
931,3546,13
870,4424,13
198,949,8
382,3014,23
302,1800,23
1327,3526,28
1251,3577,19
650,3820,15
1385,2477,16
233,3017,11
272,5168,34
472,972,13
1228,1965,32
1265,2144,12
113,2022,10
358,3306,17
287,5068,11
276,3142,14
1269,1596,12
1107,4636,9
625,831,8
364,4991,27
1079,2272,12
305,1948,34
98,4826,27
802,4691,14
946,1335,20
1258,4905,26
684,1070,13
932,747,10
708,4461,30
249,2286,31
508,4176,25
1149,4701,20
320,4258,22
1128,1176,32
381,5040,12
1115,2750,12
1308,1603,29
815,3102,20
1063,3960,11
854,1753,20
362,878,14
449,2576,28
1221,3658,33
1392,4546,15
340,2181,19
566,452,14
1033,206,11
1258,4689,20
162,2577,25
809,3590,23
1085,4406,8
615,2460,6
750,2733,30
545,4128,19
1284,1061,29
774,1354,13
233,3134,10
764,4748,7
428,2370,16
756,4776,6
1105,3768,25
1359,912,30
1174,1755,22
1179,3651,6
509,4806,6
1360,3904,28
236,3558,23
1109,3723,25
1017,481,22
1384,4853,32
974,4619,14
1350,2542,28
177,1517,29
998,2122,20
437,4243,21
780,1524,8
1240,1278,9
711,3361,19
296,4718,8
721,1490,22
225,5160,22
1233,3899,12
1171,4995,16
414,2498,25
299,1584,15
1077,4440,22
1186,3610,31
139,5218,10
738,4729,27
652,2452,23
719,1470,33
1178,709,18
1367,2997,26
275,1716,19
924,3816,32
1080,1287,18
711,4350,28
805,4983,14
189,869,14
920,2454,28
172,4212,9
418,2413,32
1432,417,17
188,4068,29
292,1735,31
1247,1431,30
1206,4750,20
465,892,22
1404,2388,27
1009,390,13
832,3942,10
815,1570,17
705,2685,15
1330,1084,20
828,1512,18
1076,914,14
479,2350,6
1084,542,23
161,2399,24
1048,4686,21
246,4798,30
1001,4257,6
522,1966,10
586,1674,23
1024,2658,13
963,2861,23
298,3243,13
880,1654,11
638,1927,20
105,1599,21
319,4708,7
190,1463,30
1245,2564,34
607,1804,31
1102,1617,6
201,1216,12
596,2001,26
90,3598,30
734,5116,9
63,4147,24
582,4816,31
1286,5078,6
677,4812,19
1421,2968,14
470,4209,6
1278,1956,7
288,5262,34
422,1201,9
904,1944,15
1055,1812,34
1151,2654,8
1345,2567,18
1079,4218,30
804,1570,12
62,4810,6
1328,2463,17
1271,2889,22
1144,3955,6
614,1632,14
425,2385,14
869,1053,22
637,4103,15
1132,4978,34
824,1693,34
1290,1611,9
1361,2162,5
81,2330,22
1221,2808,16
1314,1621,12
1053,3604,15
1213,4958,32
510,678,7
1262,3314,9
1192,2037,11
755,4553,18
212,1668,12
621,3364,31
456,2455,29
81,5109,23
86,4949,24
302,753,21
350,4600,30
572,3898,13
409,1316,32
730,4556,22
1125,1990,18
868,2184,6
1430,4530,6
146,5348,20
1225,3775,20
1133,1000,31
847,2088,6
317,3034,18
412,2368,34
653,2624,23
88,3842,7
301,3453,16
921,1739,20
744,1100,21
1080,4577,6
892,2696,29
491,798,22
984,1302,32
1290,3560,30
1040,1329,11
494,1715,24
1037,4319,27
612,1418,17
460,1486,13
1164,2891,9
1023,3341,11
117,3830,11
393,1410,19
855,3623,18
1059,4335,31
1336,3658,16
360,5364,26
62,751,32
1321,4488,23
1130,3992,6
1274,3068,8
1142,2689,18
621,3481,26
1388,3598,27
261,1855,5
521,2912,7
914,276,23
1440,1071,9
671,3969,19
1405,1795,19
1180,2005,23
992,2678,14
1362,732,6
629,1963,7
336,3586,6
651,1775,23
1384,4955,13
1204,1972,28
1048,2837,34
637,2584,14
1245,5056,33
1370,4363,32
1104,1226,30
56,2780,29
222,3051,11
1347,1768,9
342,4165,31
370,4973,19
334,5365,14
354,2599,6
466,2543,22
1280,3040,27
169,4221,6
1083,1946,15
654,1060,7
124,1799,10
1111,3983,19
738,965,29
494,1982,12
1408,4748,18
101,4974,22
366,3293,7
277,3364,11
1396,1101,24
1127,1621,32
967,1313,28
1142,2788,32
1264,1979,11
786,2022,17
389,2360,16
1197,3078,29
1211,2375,14
1093,1037,15
406,1817,19
766,1488,34
1194,4052,28
1447,2221,16
193,5136,25
557,4216,23
554,2954,33
1405,1175,24
457,2403,11
354,2029,18
696,4804,26
378,4750,18
142,5198,20
313,4588,13
729,2921,10
90,4414,16
419,1569,20
508,2378,34
1304,133,12
802,287,6
1111,1904,24
486,2166,15
373,2441,15
761,3554,11
588,2941,15
1249,3534,13
534,2247,10
297,3216,16
1311,4664,24
651,4566,7
940,922,18
1053,4745,22
657,1613,5
1020,3766,15
349,4222,30
582,2777,19
115,2896,10
1431,1188,27
238,5203,22
1044,1336,9
613,4222,16
443,3647,29
857,2574,19
1373,2404,6
137,4787,16
1294,2499,31
698,2352,12
963,2093,12
263,2244,9
691,2946,17
276,1434,20
900,508,10
266,4586,6
1371,1842,31
505,966,19
531,2647,27
268,1412,14
749,3645,14
201,5092,29
449,553,18
368,4705,33
72,5042,6
1290,2090,8
1121,3704,14
1359,4812,24
1303,1851,28
807,1586,20
1147,1928,7
719,662,12
409,1712,12
480,1686,33
439,3847,6
1176,4448,28
513,4853,21
1277,3678,18
815,2908,18
965,3568,32
1129,3610,14
325,3535,23
225,1246,28
1386,4286,26
862,2156,27
864,2396,34
1302,3714,6
1172,80,12
96,4188,15
381,940,8
218,4213,33
1074,3692,12
664,2413,14
1062,1427,21
823,3776,29
365,1218,19
1069,3396,25
220,4826,10
919,2026,8
99,5067,23
379,3315,12
1031,4445,24
653,1795,10
558,1364,14
1121,3971,25
524,3026,17
758,1685,18
1223,3048,31
744,3450,7
1363,4746,9
540,2402,23
163,4814,30
355,4018,32
905,4227,14
803,443,13
779,4864,29
1338,3438,19
725,680,12
159,1844,19
1326,3682,13
120,2167,12
1190,1718,20
661,4187,30
959,3770,16
1189,4572,9
140,2225,30
239,3023,7
504,2820,15
1068,4315,17
578,2865,20
1230,4479,13
1098,5105,16
72,5462,8
820,1396,31
1396,4887,26
1276,2852,20
1288,5013,21
103,4999,16
473,4855,23
1306,4967,13
413,3414,19
439,3384,10
1365,556,17
1364,1482,30
381,1317,8
1187,2406,7
1106,3696,20
151,3791,18
919,4523,11
786,2233,22
921,2835,20
1259,4231,29
1368,618,16
650,4195,29
603,2843,30
942,682,11
630,3459,27
1342,4652,32
1137,3521,24
279,2123,6
660,2158,8
1321,3331,8
518,4092,15
963,2393,30
679,2370,16
668,3413,6
1248,2495,14
666,3020,7
923,4727,18
166,3242,12
926,1430,31
992,901,23
1352,2861,16
745,3536,34
529,4499,16
1311,3488,27
504,1440,15
823,3903,7
666,1410,34
243,2092,6
763,4512,9
634,1949,24
255,4078,24
157,2356,8
969,2973,25
1351,4596,31
929,1479,9
310,2466,34
1409,2793,23
720,2167,24
392,3791,19
600,1908,18
204,2554,28
394,2624,26
145,2000,27
725,4077,26
671,4435,19
190,3652,24
460,2062,14
519,1948,26
362,1363,17
322,4730,18
345,3439,15
1123,4976,9
246,3517,33
190,1494,35
1260,3741,34
1444,1358,18
1085,2076,22
224,2282,9
315,3338,22
258,5263,25
581,4085,6
348,3667,24
1040,4337,31
566,2157,14
1172,4871,27
373,4328,24
1022,4839,27
361,4593,9
545,3823,16
1427,2517,8
685,2827,22
926,3841,12
1364,1136,11
282,1771,29
282,3250,20
274,3835,6
880,2526,8
251,5212,24
1104,2428,11
639,3513,15
792,2155,31
1385,2497,28
911,4026,26
1105,3416,15
734,2773,14
1316,1864,21
275,4395,7
1048,2207,17
460,3861,6
1308,4061,30
133,1406,23
1352,1295,31
163,3825,13
642,1766,6
839,3641,9
776,1863,6
907,748,11
223,2349,9
314,4622,33
204,5190,6
314,902,9
1059,331,8
1039,4358,24
826,2903,21
1306,1906,18
1109,3334,23
739,5103,31
1152,2498,27
1209,3750,32
348,1344,30
1018,4918,11
1101,4473,31
719,663,12
431,5262,33
429,2287,33
1052,1948,9
1373,192,6
651,2307,29
453,909,10
151,3047,22
774,4827,20
872,404,8
633,4978,34
332,4070,6
623,3968,6
455,2061,6
1018,3763,34
582,4306,30
588,1921,27
1179,3642,15
1146,2867,17
820,3963,20
858,4373,25
1128,582,23
1436,2229,14
331,4905,33
208,4048,27
545,3785,12
435,5163,34
832,4042,22
1376,2440,30
155,5188,15
724,475,10
955,3701,19
1055,4090,26
877,1765,27
1264,722,12
1203,873,28
1179,4990,29
1042,599,12
1290,2132,31
250,1562,10
235,1851,34
50,4045,21
216,1237,10
859,2353,29
663,567,9
923,2986,6
1295,4444,28
605,1693,18
877,3820,33
904,211,9
1321,4594,14
1282,510,22
1335,2431,5
674,316,7
1406,3644,15
560,1825,8
81,1713,25
1402,4044,25
1326,3225,11
546,2297,7
680,1882,14
1351,1504,13
832,1944,7
803,3440,17
625,4200,27
472,3624,25
305,3449,15
202,4569,27
357,5235,18
210,3155,13
1120,3282,33
959,3592,20
906,1178,17
942,764,16
984,4093,33
234,1158,27
788,2770,14
1266,3034,33
1228,4249,16
370,3949,20
344,2360,9
1207,3010,9
1311,4802,31
716,2209,24
354,2704,31
1107,3682,15
1149,1867,6
490,2278,32
247,5312,25
593,2493,20
699,4943,19
979,3859,27
637,4176,23
493,3316,22
939,1734,6
630,2819,32
1206,5048,10
468,1523,13
1342,1149,30
1118,2027,17
572,1316,28
1281,2422,31
1380,3141,22
1230,4466,21
962,384,9
306,2034,14
1220,4405,15
1296,3978,33
508,1356,11
149,2310,19
492,4059,11
460,2805,18
148,5190,34
605,2863,33
861,2310,24
1033,1157,29
579,1322,9
1212,4124,6
1330,2974,11
344,4316,27
1302,4762,28
115,2490,22
1428,3592,14
1323,1214,9
78,4237,14
1298,2535,16
162,5163,27
1227,1573,27
774,2675,16
1422,628,17
1333,1723,22
1189,2197,31
490,2517,15
706,4104,24
437,3636,23
1268,4526,12
596,653,7
396,3717,25
1117,4400,32
1014,839,8
291,916,7
845,5000,24
652,1487,14
1091,3573,23
153,3748,31
1298,1184,25
1367,1346,9
135,3808,21
462,959,13
362,2828,14
1384,1126,20
548,3892,15
1340,864,12
421,2350,33
1146,4998,27
788,1223,32
1176,1508,8
516,1454,17
830,2925,7
654,4961,21
1215,3095,21
796,1417,10
1422,2992,15
952,2699,20
100,1026,18
498,1881,17
495,2687,30
1052,3250,31
712,4885,8
197,2855,21
732,3448,34
144,3822,25
523,1916,10
129,1349,32
489,1868,6
682,2329,22
1023,3054,10
1247,2180,8
1081,2179,7
250,1828,6
138,1736,7
1340,2479,29
455,1721,25
460,1507,5
802,2698,30
1008,4391,19
1316,3769,33
653,3076,23
783,3350,32
1281,405,22
339,4841,24
1337,1516,24
369,1900,33
133,2566,25
610,4488,22
434,4884,34
245,1868,28
1229,4016,11
1109,2752,10
759,1901,12
886,3214,29
82,3851,32
718,4694,8
228,973,7
472,5222,16
867,2556,24
886,4531,7
656,3876,11
263,4036,19
358,1439,14
463,5339,34
271,1452,31
961,3802,15
1382,2103,12
357,2731,6
1328,4462,24
373,5357,7
1303,2076,16
924,1637,20
842,2731,25
868,1576,12
306,745,29
891,575,8
615,2483,33
1389,3004,6
1165,4189,32
921,2232,26
694,1559,27
312,2076,9
1059,2814,31
402,4489,15
1266,4390,7
305,3641,29
1258,3981,16
1037,2776,14
779,3078,24
729,3946,24
705,1419,7
475,1673,22
339,4603,25
240,4357,21
1118,3364,28
544,5097,26
831,1597,22
316,1550,8
852,4644,25
740,2811,16
1080,1528,31
580,2002,7
1043,1334,11
509,2193,18
394,2314,18
1339,1516,24
840,1497,32
570,4440,24
1014,3400,24
745,4681,21
857,3066,33
1075,1832,24
1450,3592,16
963,4465,8
670,3542,23
854,3187,7
692,1226,9
849,2784,16
961,1573,18
534,4843,21
668,2963,32
77,3045,30
980,1754,28
1191,2705,30
1126,938,20
385,1868,16
100,4835,13
773,337,9
973,2646,23
747,2620,18
1200,4879,9
602,4688,14
525,3110,7
593,1210,16
274,3524,22
1165,3087,24
1164,3643,24
180,1301,20
303,3134,17
450,3326,21
747,5045,30
354,1627,15
56,3284,23
1003,4971,13
1022,944,28
68,4418,9
1360,3662,12
335,2285,13
1363,4026,28
938,2094,13
1069,4306,20
550,4598,30
486,4712,17
428,4179,21
1174,2401,31
571,2074,13
787,2242,17
1385,4122,23
253,4633,26
599,2995,8
649,3152,17
1426,658,20
1079,2130,34
1321,4909,29
1356,2454,23
1382,1203,8
630,4936,7
1160,2025,19
129,1928,7
1021,3056,14
872,2902,6
506,4991,11
640,4776,13
146,3980,8
1042,3907,26
752,2817,13
481,2694,8
1037,2225,29
75,4205,15
230,3118,30
298,3164,25
432,5355,30
993,1876,12
286,852,27
492,3205,20
937,5044,23
751,4338,5
415,4530,33
774,4914,14
246,1440,30
836,1310,27
322,5099,23
353,2067,19
1123,4313,28
1317,1471,18
981,4997,29
1276,211,23
1005,533,7
655,796,19
704,4176,23
524,1475,21
520,4694,18
895,2947,15
1262,3647,27
1151,4876,18
1374,2510,18
509,4284,21
1140,2459,27
1419,3804,18
274,3522,25
908,4031,11
851,1444,21
1081,2126,33
683,1660,18
804,3479,17
1417,830,25
984,2893,7
1085,1238,14
1126,1922,15
1452,224,13
533,905,18
92,1303,22
489,3306,14
809,4102,6
1207,882,13
453,3638,27
938,4512,21
1291,2761,6
1392,3602,20
716,3585,8
876,1234,24
1310,2886,7
340,5068,34
572,2398,18
354,1228,18
492,1670,13
1358,1930,8
1229,4739,13
590,3298,10
972,1296,14
950,543,11
463,2373,12
1037,3530,29
1005,4433,6
962,3809,24
94,3104,16
1021,1942,31
90,2919,12
1421,3648,17
1281,224,19
732,3571,11
547,3610,22
494,2872,8
1255,4376,14
1099,3586,15
1197,261,9
145,4172,24
872,1262,5
1119,946,6
474,658,7
1302,4865,22
751,1476,18
385,4448,19
553,1454,7
349,1209,30
1442,2044,16
667,3016,10
691,3229,15
1115,4530,18
620,2538,27
562,3021,32
1246,3872,6
677,4876,31
1315,1299,5
691,2615,25
287,3235,21
302,3152,31
932,986,9
437,605,8
1386,1587,16
1401,4108,27
1226,1255,24
232,3032,10
963,3568,32
800,1886,22
199,4257,27
1086,1240,31
679,2812,9
396,2371,25
1138,2919,6
543,1522,24
891,2253,11
732,3440,16
1167,4285,8
1214,1563,7
380,4683,22
471,3302,10
431,3018,9
464,4490,15
507,3803,25
336,2088,10
1354,4836,23
1044,5082,8
526,3784,27
205,2335,25
583,4878,18
828,1698,18
406,2291,18
315,4620,7
120,2629,7
390,5354,7
352,1755,22
240,2064,14
953,4752,19
544,4317,14
1233,1930,23
1284,3767,7
327,5002,6
617,5107,33
377,887,7
1423,2094,28
698,4152,16
136,4674,17
959,2969,12
874,4290,21
1047,2801,8
854,4301,33
1199,1191,31
1012,3078,12
565,3194,15
1149,1169,23
1348,2390,12
261,2976,22
730,907,12
194,1202,27
1270,4531,13
1098,2445,33
1100,4002,16
1327,708,7
759,4945,30
156,3838,12
988,4589,5
261,2603,25
617,4389,28
1432,2589,13
871,1122,15
644,4300,13
611,2109,28
174,4097,19
996,4418,22
857,4040,13
298,2634,25
381,3864,6
1068,4548,22
607,3169,10
432,2248,26
255,1863,12
259,1654,16
930,211,21
909,5019,6
115,5411,7
877,4334,29
725,3660,13
495,4190,20
145,2196,13
201,1000,9
904,575,10
106,3069,31
422,2432,6
454,4050,29
734,1465,21
965,4357,10
1265,3902,29
753,1292,24
219,3026,22
504,2058,6
259,4689,24
437,4120,30
638,1583,11
1238,761,10
262,2308,29
325,2778,14
1266,2004,30
1361,3014,20
639,4018,25
691,2790,15
1199,4947,10
586,4943,7
337,5004,22
106,2038,22
76,4032,33
1117,1899,22
653,805,14
1350,2840,12
789,3958,14
660,4729,7
520,517,13
1347,3650,21
971,4352,15
744,1474,10
691,1770,17
539,2753,18
1100,3957,20
692,2822,26
718,2465,9
478,2606,24
592,487,20
911,5027,7
145,648,14
1085,3040,18
280,946,18
644,1614,30
331,4368,31
420,1903,29
745,1356,30
480,4857,29
907,786,17
741,4503,30
884,3846,20
320,4877,24
981,5041,15
446,764,17
480,2027,33
1175,1874,6
715,2618,7
480,4219,8
912,2171,18
1209,1033,9
1262,532,23
107,1349,22
1044,4505,22
182,4876,32
1327,3865,32
761,2998,14
567,4091,9
538,2062,26
566,1430,10
142,2009,20
742,4838,30
274,3952,17
530,3915,8
377,5207,9
1162,1831,12
239,3542,6
685,4079,34
1094,3766,19
1426,537,16
1286,2392,17
75,4337,33
1140,2466,16
182,2638,13
195,2310,18
615,3907,29
137,4147,22
1301,2163,8
466,3638,10
1181,4420,32
975,5035,21
110,5100,26
819,1412,14
882,3938,31
598,1130,28
119,888,29
196,3912,8
401,1157,22
1089,493,11
1216,1182,7
931,3547,13
702,2314,22
373,4260,8
176,1176,27
402,1692,10
355,3515,14
232,4345,15
280,4152,17
1074,3163,6
1353,3781,7
700,4684,18
800,2520,27
500,463,8
238,2514,9
986,2496,22
382,4985,25
808,3500,25
522,1972,27
1217,3596,24
116,2780,7
989,4611,17
936,3333,7
1377,732,23
426,3665,14
968,2201,24
1202,2034,33
481,4484,8
491,2822,6
932,1555,28
449,3357,31
1160,4953,22
1278,2152,15
452,3358,26
609,4320,20
896,4196,19
601,2489,9
798,2002,14
608,4103,32
761,4310,8
522,820,23
515,4327,20
529,1809,10
87,3777,23
728,1086,8
314,3638,29
179,2683,31
301,5230,12
836,3893,6
888,442,13
1369,737,15
103,1992,26
1074,4622,15
736,4893,31
1044,2796,30
692,2314,18
636,3103,10
1166,4264,8
515,3322,12
912,1559,33
902,994,22
885,2729,23
1245,2807,5
684,680,14
1212,1856,22
1137,4588,22
475,1753,25
269,4161,19
760,1915,19
759,3745,33
175,5183,16
332,3967,28
672,1339,21
1206,5018,14
284,3442,11
324,3764,26
517,4730,24
